committee_id,committee_name,report_year,report_type,transaction_id,file_number,entity_type,entity_type_desc,recipient_committee_id,recipient_name,recipient_state,disbursement_type,disbursement_description,disbursement_date,disbursement_amount,election_type,fec_election_type_desc,amendment_indicator,filing_form,recipient_city,recipient_zip,disbursement_purpose_category,memo_text
C00574624,CRUZ FOR PRESIDENT,2016,M2,SBCCUV23.4585,1096260,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2016-01-05 00:00:00,-833.6,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M4,SB23CCUV.9923,1077665,ORG,ORGANIZATION,,AMERICAN AIRLINES,TX,,CREDIT- TRAVEL,2016-03-03 00:00:00,-735.86,,,N,F3P,FORT WORTH,76155,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9030,1057556,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2015-11-06 00:00:00,-722.1,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9041,1057556,ORG,ORGANIZATION,,DELTA AIRLINES,GA,,CREDIT- TRAVEL,2015-12-09 00:00:00,-712.1,,,N,F3P,ATLANTA,30320,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9018,1053893,ORG,ORGANIZATION,,B&H PHOTO,NY,,CREDIT- EQUIPMENT PURCHASE,2015-07-03 00:00:00,-699.0,,,N,F3P,NEW YORK,10001,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M3,SB23.1669,1071498,ORG,ORGANIZATION,,ALPINE GROVE BANQUET FACILITY INC,NH,,VOID CHECK- LOST CHECK,2016-02-03 00:00:00,-650.0,,,N,F3P,HOLLIS,03049,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q2,SB23CCUV6.1257,1024046,ORG,ORGANIZATION,,SOUTHWEST AIRLINES,TX,,CREDIT- TRAVEL,2015-06-17 00:00:00,-644.0,,,N,F3P,DALLAS,75235,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9031,1053893,ORG,ORGANIZATION,,AMERICAN AIRLINES,TX,,CREDIT- TRAVEL,2015-07-03 00:00:00,-636.1,,,N,F3P,FORT WORTH,76155,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9022,1053893,ORG,ORGANIZATION,,B&H PHOTO,NY,,CREDIT- EQUIPMENT PURCHASE,2015-08-03 00:00:00,-634.5,,,N,F3P,NEW YORK,10001,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q2,SB23CCUV6.1256,1024046,ORG,ORGANIZATION,,AMERICAN AIRLINES,TX,,CREDIT- TRAVEL,2015-06-17 00:00:00,-626.1,,,N,F3P,FORT WORTH,76155,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9033,1057556,ORG,ORGANIZATION,,SOUTHWEST AIRLINES,TX,,CREDIT- TRAVEL,2015-11-06 00:00:00,-599.0,,,N,F3P,DALLAS,75235,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M6,SB23CCUV4.6281,1079356,ORG,ORGANIZATION,,HILTON- BEVERLY HILLS,CA,,CREDIT- TRAVEL,2016-05-03 00:00:00,-583.62,,,A,F3P,BEVERLY HILLS,90210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M2,SBCCUV23.4583,1096260,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2016-01-05 00:00:00,-576.1,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M7,SB23BCCUV.4144,1096256,ORG,ORGANIZATION,,THE CENTRE,IN,,CREDIT- EQUIPMENT RENTAL/STAGING,2016-06-24 00:00:00,-563.65,,,N,F3P,EVANSVILLE,47708,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2015,Q2,SB23CCUV6.1255,1024046,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2015-06-17 00:00:00,-561.1,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9034,1057556,ORG,ORGANIZATION,,SOUTHWEST AIRLINES,TX,,CREDIT- TRAVEL,2015-11-06 00:00:00,-550.0,,,N,F3P,DALLAS,75235,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9028,1057556,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2015-10-07 00:00:00,-542.1,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M5,SB23CCUV5.7311,1135630,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2016-04-04 00:00:00,-534.6,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M3,SB23UV3.4460,1071498,ORG,ORGANIZATION,,THRIFTY CAR RENTAL,OK,,CREDIT- TRAVEL,2016-02-03 00:00:00,-482.16,,,N,F3P,TULSA,74153,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M5,SB23CCUV5.7307,1135630,ORG,ORGANIZATION,,AMAZON.COM,WA,,CREDIT- OFFICE SUPPLIES,2016-04-04 00:00:00,-479.03,,,N,F3P,SEATTLE,98109,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9031,1057556,ORG,ORGANIZATION,,HOTELS.COM,TX,,CREDIT- TRAVEL,2015-11-06 00:00:00,-461.2,,,N,F3P,DALLAS,75231,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9036,1057556,ORG,ORGANIZATION,,SOUTHWEST AIRLINES,TX,,CREDIT- TRAVEL,2015-12-09 00:00:00,-459.48,,,N,F3P,DALLAS,75235,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M4,SB23.1088,1077665,IND,INDIVIDUAL,,"CRAWFORD, VICKI",TX,,VOID CHECK- REISSUE,2016-03-29 00:00:00,-430.74,,,N,F3P,HOUSTON,77265,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M4,SB23CCUV.9922,1077665,ORG,ORGANIZATION,,FRONTIER AIRLINES,CO,,CREDIT- TRAVEL,2016-03-03 00:00:00,-425.59,,,N,F3P,DENVER,80249,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q2,SB23CCUV6.1254,1024046,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2015-06-17 00:00:00,-416.1,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M5,SB23CCUV5.7306,1135630,ORG,ORGANIZATION,,AMAZON.COM,WA,,CREDIT- OFFICE SUPPLIES,2016-04-04 00:00:00,-402.74,,,N,F3P,SEATTLE,98109,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9041,1053893,ORG,ORGANIZATION,,AMERICAN AIRLINES,TX,,CREDIT- TRAVEL,2015-09-03 00:00:00,-398.1,,,N,F3P,FORT WORTH,76155,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M5,SB23CCUV5.7312,1135630,ORG,ORGANIZATION,,AMERICAN AIRLINES,TX,,CREDIT- TRAVEL,2016-04-04 00:00:00,-392.1,,,N,F3P,FORT WORTH,76155,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q2,SB23CCUV6.1253,1024046,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2015-06-17 00:00:00,-389.76,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9043,1057556,ORG,ORGANIZATION,,ROSEN SHINGLE CREEK,FL,,CREDIT- TRAVEL,2015-12-09 00:00:00,-388.07,,,N,F3P,ORLANDO,23819,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M4,SB23.1089,1077665,IND,INDIVIDUAL,,"SIMON, DEBORAH",TX,,VOID CHECK- REISSUE,2016-03-23 00:00:00,-387.24,,,N,F3P,HOUSTON,77265,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9034,1053893,ORG,ORGANIZATION,,SOUTHWEST AIRLINES,TX,,CREDIT- TRAVEL,2015-08-03 00:00:00,-384.0,,,N,F3P,DALLAS,75235,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9020,1053893,ORG,ORGANIZATION,,B&H PHOTO,NY,,CREDIT- EQUIPMENT PURCHASE,2015-08-03 00:00:00,-379.95,,,N,F3P,NEW YORK,10001,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q2,SB23CCUV6.1252,1024046,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2015-06-17 00:00:00,-352.62,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q2,SB23CCUV6.1250,1024046,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2015-06-17 00:00:00,-344.1,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q2,SB23CCUV6.1251,1024046,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2015-06-17 00:00:00,-344.1,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M5,SB23CCUV5.7313,1135630,ORG,ORGANIZATION,,THE MUTINY HOTEL,FL,,CREDIT- TRAVEL,2016-04-04 00:00:00,-307.91,,,N,F3P,MIAMI,33133,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M2,SBCCUV23.4579,1096260,ORG,ORGANIZATION,,B&H PHOTO,NY,,CREDIT- EQUIPMENT PURCHASE,2016-01-05 00:00:00,-290.7,,,N,F3P,NEW YORK,10001,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9023,1053893,ORG,ORGANIZATION,,B&H PHOTO,NY,,CREDIT- EQUIPMENT PURCHASE,2015-08-03 00:00:00,-283.52,,,N,F3P,NEW YORK,10001,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M5,SB23CCUV5.7303,1135630,ORG,ORGANIZATION,,AMAZON.COM,WA,,CREDIT- OFFICE SUPPLIES,2016-04-04 00:00:00,-279.51,,,N,F3P,SEATTLE,98109,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2016,M5,SB23CCUV5.7302,1135630,ORG,ORGANIZATION,,AMERICAN AUDIO VISUAL,FL,,CREDIT- EQUIPMENT RENTAL,2016-04-04 00:00:00,-264.63,,,N,F3P,ORLANDO,32837,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2015,Q2,SB23CCUV6.1249,1024046,ORG,ORGANIZATION,,SOUTHWEST AIRLINES,TX,,CREDIT- TRAVEL,2015-06-17 00:00:00,-262.99,,,N,F3P,DALLAS,75235,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M4,SB23CCUV.9921,1077665,ORG,ORGANIZATION,,SOUTHWEST AIRLINES,TX,,CREDIT- TRAVEL,2016-03-03 00:00:00,-257.0,,,N,F3P,DALLAS,75235,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M5,SB23CCUV5.7304,1135630,ORG,ORGANIZATION,,AMAZON.COM,WA,,CREDIT- OFFICE SUPPLIES,2016-04-04 00:00:00,-254.32,,,N,F3P,SEATTLE,98109,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9047,1053893,ORG,ORGANIZATION,,B&H PHOTO,NY,,CREDIT-EQUIPMENT PURCHASE,2015-07-03 00:00:00,-251.5,,,N,F3P,NEW YORK,10001,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9032,1057556,ORG,ORGANIZATION,,HOTELS.COM,TX,,CREDIT- TRAVEL,2015-11-06 00:00:00,-230.6,,,N,F3P,DALLAS,75231,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M5,SB23CCUV5.7316,1135630,ORG,ORGANIZATION,,SHERATON HOTEL,NC,,CREDIT- TRAVEL,2016-04-04 00:00:00,-228.15,,,N,F3P,RALEIGH,27601,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9040,1053893,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2015-09-03 00:00:00,-224.5,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9027,1053893,ORG,ORGANIZATION,,AMAZON.COM,WA,,CREDIT- OFFICE SUPPLIES,2015-09-03 00:00:00,-224.21,,,N,F3P,SEATTLE,98109,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9028,1053893,ORG,ORGANIZATION,,AMTRAK,DC,,CREDIT- TRAVEL,2015-07-03 00:00:00,-214.2,,,N,F3P,WASHINGTON,20002,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9032,1053893,ORG,ORGANIZATION,,AMTRAK,DC,,CREDIT- TRAVEL,2015-07-03 00:00:00,-214.2,,,N,F3P,WASHINGTON,20002,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9025,1057556,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2015-10-07 00:00:00,-211.1,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M7,SB23.91002,1096256,IND,INDIVIDUAL,,"BROWN, ERIC",TX,,VOID CHECK,2016-06-14 00:00:00,-209.5,,,N,F3P,HOUSTON,77265,OTHER,CHECK REISSUED ON 6/17/16
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9029,1053893,ORG,ORGANIZATION,,AMERICAN AIRLINES,TX,,CREDIT- TRAVEL,2015-07-03 00:00:00,-209.1,,,N,F3P,FORT WORTH,76155,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M2,SBCCUV23.4584,1096260,ORG,ORGANIZATION,,AMTRAK,DC,,CREDIT- TRAVEL,2016-01-05 00:00:00,-192.9,,,N,F3P,WASHINGTON,20002,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9030,1053893,ORG,ORGANIZATION,,AMERICAN AIRLINES,TX,,CREDIT- TRAVEL,2015-07-03 00:00:00,-187.94,,,N,F3P,FORT WORTH,76155,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9033,1053893,ORG,ORGANIZATION,,AMERICAN AIRLINES,TX,,CREDIT- TRAVEL,2015-07-03 00:00:00,-187.94,,,N,F3P,FORT WORTH,76155,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M3,SB23UV3.4462,1071498,ORG,ORGANIZATION,,MOUNTAIN VIEW GRAND RESORT,NH,,CREDIT- TRAVEL,2016-02-03 00:00:00,-179.0,,,N,F3P,WHITEFIELD,03598,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q2,SB23CCUV6.1248,1024046,ORG,ORGANIZATION,,UBER,CA,,CREDIT- TRAVEL,2015-06-17 00:00:00,-179.0,,,N,F3P,SAN FRANCISCO,94105,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9021,1053893,ORG,ORGANIZATION,,B&H PHOTO,NY,,CREDIT- EQUIPMENT PURCHASE,2015-08-03 00:00:00,-169.09,,,N,F3P,NEW YORK,10001,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9026,1057556,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2015-10-07 00:00:00,-168.1,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9035,1053893,ORG,ORGANIZATION,,AMTRAK,DC,,CREDIT- TRAVEL,2015-08-03 00:00:00,-158.0,,,N,F3P,WASHINGTON,20002,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9038,1053893,ORG,ORGANIZATION,,AMTRAK,DC,,CREDIT- TRAVEL,2015-08-03 00:00:00,-158.0,,,N,F3P,WASHINGTON,20002,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M6,SB23CCUV4.6280,1079356,ORG,ORGANIZATION,,DELTA AIRLINES,GA,,CREDIT- TRAVEL,2016-05-03 00:00:00,-153.0,,,A,F3P,ATLANTA,30320,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9042,1057556,ORG,ORGANIZATION,,COURTYARD BY MARRIOTT DES MOINES,IA,,CREDIT- TRAVEL,2015-12-09 00:00:00,-152.9,,,N,F3P,CLIVE,50325,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M2,SBCCUV23.4586,1096260,ORG,ORGANIZATION,,AMTRAK,DC,,CREDIT- TRAVEL,2016-01-05 00:00:00,-145.0,,,N,F3P,WASHINGTON,20002,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M2,SBCCUV23.4587,1096260,ORG,ORGANIZATION,,AMTRAK,DC,,CREDIT- TRAVEL,2016-01-05 00:00:00,-144.9,,,N,F3P,WASHINGTON,20002,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9035,1057556,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2015-11-06 00:00:00,-139.0,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9017,1053893,ORG,ORGANIZATION,,AMAZON.COM,WA,,CREDIT- EQUIPMENT PURCHASE,2015-07-03 00:00:00,-127.39,,,N,F3P,SEATTLE,98109,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M4,SB23CCUV.9920,1077665,ORG,ORGANIZATION,,DELTA AIRLINES,GA,,CREDIT- TRAVEL,2016-03-03 00:00:00,-126.08,,,N,F3P,ATLANTA,30320,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M2,SBCCUV23.4582,1096260,ORG,ORGANIZATION,,AMAZON.COM,WA,,CREDIT- OFFICE SUPPLIES,2016-01-05 00:00:00,-120.0,,,N,F3P,SEATTLE,98109,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2016,M2,SBCCUV23.4588,1096260,ORG,ORGANIZATION,,AMTRAK,DC,,CREDIT- TRAVEL,2016-01-05 00:00:00,-117.0,,,N,F3P,WASHINGTON,20002,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q2,SB23CCUV6.1247,1024046,ORG,ORGANIZATION,,OMNI NASHVILLE,TN,,CREDIT- TRAVEL,2015-05-21 00:00:00,-116.71,,,N,F3P,NASHVILLE,37203,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M3,SB23UV3.4463,1071498,ORG,ORGANIZATION,,HOTELS.COM,TX,,CREDIT- TRAVEL,2016-02-03 00:00:00,-116.0,,,N,F3P,DALLAS,75231,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M2,SBCCUV23.4580,1096260,ORG,ORGANIZATION,,DM RENTAL,IA,,CREDIT- EQUIPMENT RENTAL,2016-01-05 00:00:00,-113.68,,,N,F3P,URBANDALE,50322,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2016,M5,SB23CCUV5.7310,1135630,ORG,ORGANIZATION,,AMERICAN AIRLINES,TX,,CREDIT- TRAVEL,2016-04-04 00:00:00,-113.0,,,N,F3P,FORT WORTH,76155,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9026,1053893,ORG,ORGANIZATION,,AMAZON.COM,WA,,CREDIT- OFFICE SUPPLIES,2015-09-03 00:00:00,-111.9,,,N,F3P,SEATTLE,98109,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9018,1057556,ORG,ORGANIZATION,,FEDEX,TN,,CREDIT- DELIVERY,2015-10-07 00:00:00,-108.24,,,N,F3P,MEMPHIS,38119,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M3,SB23UV3.4461,1071498,ORG,ORGANIZATION,,HOTELS.COM,TX,,CREDIT- TRAVEL,2016-02-03 00:00:00,-100.14,,,N,F3P,DALLAS,75231,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M7,SB23BCCUV.4145,1096256,ORG,ORGANIZATION,,ALAMO RENT A CAR,MO,,CREDIT- TRAVEL,2016-06-24 00:00:00,-93.78,,,N,F3P,ST LOUIS,63105,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M5,SB23CCUV5.7308,1135630,ORG,ORGANIZATION,,THE HOME DEPOT HOUSTON,TX,,CREDIT- OFFICE SUPPLIES,2016-04-04 00:00:00,-90.38,,,N,F3P,HOUSTON,77081,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2016,M5,SB23.9527,1135630,ORG,ORGANIZATION,,CITY OF BURLINGTON POLICE,IA,,VOID CHECK,2016-04-05 00:00:00,-90.0,,,N,F3P,BURLINGTON,52601,OTHER,REISSUED- LOST CHECK
C00574624,CRUZ FOR PRESIDENT,2015,Q2,SB23CCUV6.1246,1024046,ORG,ORGANIZATION,,VENETIAN/PALAZZO,NV,,CREDIT- TRAVEL,2015-05-21 00:00:00,-90.0,,,N,F3P,LAS VEGAS,89109,OTHER,
